feature,cls,db,density
VV,non-flooded land,-33.375,0.0
VV,non-flooded land,-33.125,0.0
VV,non-flooded land,-32.875,0.0
VV,non-flooded land,-32.625,0.0
VV,non-flooded land,-32.375,0.0
VV,non-flooded land,-32.125,0.0
VV,non-flooded land,-31.875,0.0
VV,non-flooded land,-31.625,0.0
VV,non-flooded land,-31.375,0.0
VV,non-flooded land,-31.125,0.0
VV,non-flooded land,-30.875,0.0
VV,non-flooded land,-30.625,0.0
VV,non-flooded land,-30.375,0.0
VV,non-flooded land,-30.125,0.0
VV,non-flooded land,-29.875,0.0
VV,non-flooded land,-29.625,0.0
VV,non-flooded land,-29.375,0.0
VV,non-flooded land,-29.125,0.0
VV,non-flooded land,-28.875,0.0
VV,non-flooded land,-28.625,0.0
VV,non-flooded land,-28.375,0.0
VV,non-flooded land,-28.125,0.0
VV,non-flooded land,-27.875,0.0
VV,non-flooded land,-27.625,0.0
VV,non-flooded land,-27.375,0.0
VV,non-flooded land,-27.125,0.0
VV,non-flooded land,-26.875,0.0
VV,non-flooded land,-26.625,0.0
VV,non-flooded land,-26.375,0.0
VV,non-flooded land,-26.125,0.0
VV,non-flooded land,-25.875,0.0
VV,non-flooded land,-25.625,0.0
VV,non-flooded land,-25.375,0.0
VV,non-flooded land,-25.125,0.0
VV,non-flooded land,-24.875,0.0
VV,non-flooded land,-24.625,0.0
VV,non-flooded land,-24.375,0.0
VV,non-flooded land,-24.125,0.0
VV,non-flooded land,-23.875,0.0
VV,non-flooded land,-23.625,0.0
VV,non-flooded land,-23.375,0.0
VV,non-flooded land,-23.125,0.0
VV,non-flooded land,-22.875,0.0
VV,non-flooded land,-22.625,0.0
VV,non-flooded land,-22.375,4.0025215886008184e-05
VV,non-flooded land,-22.125,2.0012607943004092e-05
VV,non-flooded land,-21.875,2.0012607943004092e-05
VV,non-flooded land,-21.625,0.0
VV,non-flooded land,-21.375,0.00020012607943004093
VV,non-flooded land,-21.125,8.005043177201637e-05
VV,non-flooded land,-20.875,8.005043177201637e-05
VV,non-flooded land,-20.625,0.00036022694297407367
