feature,cls,db,density
VV,non-flooded land,-10.875,0.00955250350157697
VV,non-flooded land,-10.625,0.011487187755060912
VV,non-flooded land,-10.375,0.015860380286373574
VV,non-flooded land,-10.125,0.01686802833506313
VV,non-flooded land,-9.875,0.021926421539484688
VV,non-flooded land,-9.625,0.02758940357311998
VV,non-flooded land,-9.375,0.033232232645781484
VV,non-flooded land,-9.125,0.04226075916203988
VV,non-flooded land,-8.875,0.05538033675597787
VV,non-flooded land,-8.625,0.06579941757942785
VV,non-flooded land,-8.375,0.07893914813433964
VV,non-flooded land,-8.125,0.09488014026460838
VV,non-flooded land,-7.875,0.11148618010701222
VV,non-flooded land,-7.625,0.12762870184701888
VV,non-flooded land,-7.375,0.14300541107002146
VV,non-flooded land,-7.125,0.15412984552755413
VV,non-flooded land,-6.875,0.16225148879999193
VV,non-flooded land,-6.625,0.16491167964853237
VV,non-flooded land,-6.375,0.167551717536099
VV,non-flooded land,-6.125,0.1609818522586431
VV,non-flooded land,-5.875,0.15689080118096352
VV,non-flooded land,-5.625,0.1442347416894227
VV,non-flooded land,-5.375,0.13224372991001704
VV,non-flooded land,-5.125,0.12323535635473241
VV,non-flooded land,-4.875,0.10896705998528834
VV,non-flooded land,-4.625,0.09463830473292288
VV,non-flooded land,-4.375,0.08732277989943672
VV,non-flooded land,-4.125,0.07918098366602513
VV,non-flooded land,-3.875,0.07311494241291401
VV,non-flooded land,-3.625,0.06759303110609527
VV,non-flooded land,-3.375,0.06285708527725437
VV,non-flooded land,-3.125,0.06172851946272206
VV,non-flooded land,-2.875,0.056609667375379126
VV,non-flooded land,-2.625,0.05759716246309489
VV,non-flooded land,-2.375,0.05310305216593948
VV,non-flooded land,-2.125,0.05110790902953417
VV,non-flooded land,-1.875,0.05003980209792324
VV,non-flooded land,-1.625,0.0469563990689332
VV,non-flooded land,-1.375,0.04482018520571135
VV,non-flooded land,-1.125,0.041797241059642685
VV,non-flooded land,-0.875,0.04091051077679588
VV,non-flooded land,-0.625,0.037827107747805844
VV,non-flooded land,-0.375,0.035751352767505365
VV,non-flooded land,-0.125,0.03452202214810411
VV,non-flooded land,0.125,0.03133785431424512
VV,non-flooded land,0.375,0.030128676655817657
VV,non-flooded land,0.625,0.028597051621809533
VV,non-flooded land,0.875,0.02646083775858768
VV,non-flooded land,1.125,0.024909059763605766
VV,non-flooded land,1.375,0.023498352495440394
VV,non-flooded land,1.625,0.02247055148577705
VV,non-flooded land,1.875,0.020032043207948328
VV,non-flooded land,2.125,0.020011890246974536
VV,non-flooded land,2.375,0.01837950040809746
VV,non-flooded land,2.625,0.016908334257010712
VV,non-flooded land,2.875,0.016847875374089338
VV,non-flooded land,3.125,0.015275944418133635
VV,non-flooded land,3.375,0.013240495359780736
VV,non-flooded land,3.625,0.01257544764764563
VV,non-flooded land,3.875,0.012333612115960138
VV,non-flooded land,4.125,0.011991011779405689
VV,non-flooded land,4.375,0.01088259892584718
VV,non-flooded land,4.625,0.010801987081952015
VV,non-flooded land,4.875,0.009492044618655595
VV,non-flooded land,5.125,0.009330820930865267
VV,non-flooded land,5.375,0.008605314335808788
VV,non-flooded land,5.625,0.008605314335808788
VV,non-flooded land,5.875,0.007154301145695831
VV,non-flooded land,6.125,0.007013230418879294
VV,non-flooded land,6.375,0.006247417901875233
VV,non-flooded land,6.625,0.006670630082324845
VV,non-flooded land,6.875,0.006549712316482099
VV,non-flooded land,7.125,0.005380840580002217
VV,non-flooded land,7.375,0.004997934321500187
VV,non-flooded land,7.625,0.004957628399552604
VV,non-flooded land,7.875,0.004453804375207827
VV,non-flooded land,8.125,0.00413135699962717
VV,non-flooded land,8.375,0.003949980350863051
VV,non-flooded land,8.625,0.0037282977801513487
VV,non-flooded land,8.875,0.0035670740923610202
VV,non-flooded land,9.125,0.0029221793411997057
VV,non-flooded land,9.375,0.0028818734192521235
VV,non-flooded land,9.625,0.002781108614383168
VV,non-flooded land,9.875,0.002478814199776302
VH,permanent water,-34.875,0.0
VH,permanent water,-34.625,0.0
VH,permanent water,-34.375,0.0
VH,permanent water,-34.125,0.0
VH,permanent water,-33.875,0.0
VH,permanent water,-33.625,0.0
VH,permanent water,-33.375,0.0
VH,permanent water,-33.125,0.0
VH,permanent water,-32.875,0.0
VH,permanent water,-32.625,0.0
VH,permanent water,-32.375,0.0
VH,permanent water,-32.125,0.0
VH,permanent water,-31.875,0.0
VH,permanent water,-31.625,0.0
VH,permanent water,-31.375,0.0
VH,permanent water,-31.125,0.0
VH,permanent water,-30.875,0.0
VH,permanent water,-30.625,0.0
VH,permanent water,-30.375,0.0
VH,permanent water,-30.125,0.0
VH,permanent water,-29.875,0.0
VH,permanent water,-29.625,0.0
VH,permanent water,-29.375,0.0
VH,permanent water,-29.125,0.0
VH,permanent water,-28.875,0.0
VH,permanent water,-28.625,0.0
VH,permanent water,-28.375,0.0
VH,permanent water,-28.125,0.0
VH,permanent water,-27.875,0.0
VH,permanent water,-27.625,0.0
VH,permanent water,-27.375,0.0
VH,permanent water,-27.125,0.0
VH,permanent water,-26.875,0.0
VH,permanent water,-26.625,0.0
VH,permanent water,-26.375,0.0
VH,permanent water,-26.125,0.0
VH,permanent water,-25.875,0.0
VH,permanent water,-25.625,0.00032953453247288206
VH,permanent water,-25.375,0.00032953453247288206
VH,permanent water,-25.125,0.001867362350679665
VH,permanent water,-24.875,0.00538239736372374
VH,permanent water,-24.625,0.01076479472744748
VH,permanent water,-24.375,0.023836331182205135
VH,permanent water,-24.125,0.041741040779898396
VH,permanent water,-23.875,0.0759027873129205
VH,permanent water,-23.625,0.1168749141837155
VH,permanent water,-23.375,0.1594947137168749
VH,permanent water,-23.125,0.21672387752299876
VH,permanent water,-22.875,0.27252505835507346
VH,permanent water,-22.625,0.28944116435534806
VH,permanent water,-22.375,0.30745571879719896
VH,permanent water,-22.125,0.3110805986544007
VH,permanent water,-21.875,0.2896608540436633
VH,permanent water,-21.625,0.27197583413428533
VH,permanent water,-21.375,0.22715913771797336
VH,permanent water,-21.125,0.19574351228889195
VH,permanent water,-20.875,0.16213098997665798
VH,permanent water,-20.625,0.11830289715776465
VH,permanent water,-20.375,0.0947961005080324
VH,permanent water,-20.125,0.07722092544281203
VH,permanent water,-19.875,0.05920637100096114
VH,permanent water,-19.625,0.04646436907867637
VH,permanent water,-19.375,0.041631195935740765
VH,permanent water,-19.125,0.032514073870657696
VH,permanent water,-18.875,0.033063298091445835
VH,permanent water,-18.625,0.023946176026362762
VH,permanent water,-18.375,0.022518193052313607
VH,permanent water,-18.125,0.01900315803926953
